====================================================================================================
FILE: raw/2016-17/monthly/FR_APr_2016.pdf
PAGES: 355
====================================================================================================
Page   1 | text_chars=    0 | images= 2 | 
Page  31 | text_chars= 3739 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 27 MoSPI OCMS Sector-wise List of Projects (Maximum Five in Numbers) Having Maximum Cost Overruns (COR) (as on 3
Page  32 | text_chars= 3104 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 28 MoSPI OCMS 3 HARANGAJO TO MAIBANG, NH-54 12/2003 196.00 331.23 135.23 4 MAIBANG TO LUMDING (AS-24), KM.111.00
Page  33 | text_chars= 2850 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 29 MoSPI OCMS Sector-wise List of Projects (Maximum Five in Numbers) Having Maximum Time Overruns (TOR) (as on 3
Page  34 | text_chars= 3030 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 30 MoSPI OCMS 5 KAMENG HYDROELECTRIC PROJECT (NEEPCO) 12/2004 12/2009 03/2017 87 RAILWAYS 1 GONDIA-JABALPUR(GC),
Page  35 | text_chars= 2749 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 31 MoSPI OCMS 6. The brief reasons for time overruns as reported by various project implementing agencies are de
Page  36 | text_chars= 2501 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 32 MoSPI OCMS MINES 1 EXPANSION OF MALANJKHAND MINE- DEVELOPMENT OF UNDERGROUND MIN 09/2011 1856.00 1176.00 9.97
Page  37 | text_chars= 2487 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 33 MoSPI OCMS 3 CONSTRUCTION OF OFFSHORE CONTAINER BERTHS AND DEVELOPMENT OF 01/2007 366.39 669.46 411.12 12/201
Page  38 | text_chars= 3711 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 34 MoSPI OCMS 2 PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) 09/2003 3492.00 0.00 4933.84 CIVIL AVIATION 1 
Page  39 | text_chars= 3305 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 35 MoSPI OCMS Sector-wise List of Earliest (oldest) Projects (Maximum Five in Numbers) Without Revised Commissio
Page  40 | text_chars= 3111 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 36 MoSPI OCMS 2 REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED SHOULDERS (KM 40 TO KM 219.945) OF NH-
Page  41 | text_chars= 3181 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 37 MoSPI OCMS NR/WR Part-A, PGCIL’ and ‘Establishment of Pooling Stations at Champa and Raigarh for IPP Generati
Page  42 | text_chars= 3152 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 38 MoSPI OCMS Strengthening Scheme –IX, PGCIL’ has reported additional delay of 6 months; 1 project ‘Kameng Hydr
Page  43 | text_chars= 2992 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 39 MoSPI OCMS ‘Gujarat/Maharashtra Border Surat-Hazira Port Section, NHAI’ has additional delay of 10 months; 3 
Page  44 | text_chars= 1908 | images= 1 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 40 MoSPI OCMS 4 projects, 1 project is mega project. 2 projects ‘Construction of Head Office Building of PNB on 
Page  45 | text_chars=  660 | images= 1 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 41 MoSPI OCMS EXECUTIVE SUMMARY Sl.No. Sector Projects on Monitor Projects Additionally Delayed 1 ROAD TRANSPORT
Page  46 | text_chars= 4251 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 42 MoSPI OCMS Month wise List of Completed Projects Costing Rs.150 crore and above during 2016-2017 Sl. No Proje
Page  47 | text_chars= 2258 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 43 MoSPI OCMS Month wise List of Completed Projects Costing Rs.150 crore and above during 2016-2017 Sl. No Proje
Page  48 | text_chars= 1160 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 44 MoSPI OCMS Project Status with respect to Original Schedule: Out of 1061 projects, 4 projects are ahead of sc
Page  49 | text_chars= 2333 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 45 MoSPI OCMS Projects Added / Completed / Dropped / Frozen Project status Number of Projects With Respect To De
Page  50 | text_chars= 2716 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 46 MoSPI OCMS Extent of cost overrun in projects with respect to original schedule(Sector Wise) (All Cost/ Expen
Page  51 | text_chars= 3093 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 47 MoSPI OCMS Extent of cost overrun in projects with respect to original schedule(State Wise) (All Cost/ Expend
Page  52 | text_chars= 2202 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 48 MoSPI OCMS * - Information in respect of Ministry of Railways is as on 01.01.2015. Ministry of Railways is no
Page  53 | text_chars= 3156 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 49 MoSPI OCMS $- Time overrun = Anticipated Date of Commissioning minus Original Date of Commissioning ^ - Cost 
Page  54 | text_chars= 2173 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 50 MoSPI OCMS * - Information in respect of Ministry of Railways is as on 01.01.2015. Ministry of Railways is no
Page  55 | text_chars= 2129 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 51 MoSPI OCMS Extent of cost overrun in projects with respect to latest schedule (All Cost/ Expenditure in Rs. c
Page  56 | text_chars= 2204 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 52 MoSPI OCMS Extent of time & cost overrun in projects with respect to latest schedule (All Cost/ Expenditure i
Page  57 | text_chars= 2244 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 53 MoSPI OCMS Extent of time & cost overrun in projects with respect to original schedule (All Cost/ Expenditure
Page  58 | text_chars= 3509 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 54 MoSPI OCMS List of projects completed/dropped/Frozen during current month (All Cost /Expenditure in Rs. crore
Page  59 | text_chars=  795 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 55 MoSPI OCMS List of projects completed/dropped/Frozen during current month (All Cost /Expenditure in Rs. crore
Page  60 | text_chars= 2665 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 56 MoSPI OCMS List of projects added (All Cost in Rs. crore ) Original Anticipated SI.No Project DOA Cost DOC Co
Page  61 | text_chars= 2343 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 57 MoSPI OCMS List of projects added (All Cost in Rs. crore ) Original Anticipated SI.No Project DOA Cost DOC Co
Page  62 | text_chars= 2284 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 58 MoSPI OCMS List of projects reporting additional delays Cost ( Rs.crore) DOC reported SI. No Project name Ori
Page  63 | text_chars= 2701 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 59 MoSPI OCMS List of projects reporting additional delays Cost ( Rs.crore) DOC reported SI. No Project name Ori
Page  64 | text_chars= 2900 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 60 MoSPI OCMS List of projects reporting additional delays Cost ( Rs.crore) DOC reported SI. No Project name Ori
Page  65 | text_chars= 2930 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 61 MoSPI OCMS List of projects reporting additional delays Cost ( Rs.crore) DOC reported SI. No Project name Ori
Page  66 | text_chars= 2771 | images= 0 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 62 MoSPI OCMS List of projects reporting additional delays Cost ( Rs.crore) DOC reported SI. No Project name Ori
Page  67 | text_chars=  164 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 63 MoSPI OCMS Graphical Presentation of All Projects w.r.t. Original Schedule Delay in Months
Page  68 | text_chars=  146 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 64 MoSPI OCMS Graphical Presentation of ATOMIC ENERGY Sector Delay in Months
Page  69 | text_chars=  147 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 65 MoSPI OCMS Graphical Presentation of CIVIL AVIATION Sector Delay in Months
Page  70 | text_chars=  137 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 66 MoSPI OCMS Graphical Presentation of COAL Sector Delay in Months
Page  71 | text_chars=  138 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 67 MoSPI OCMS Graphical Presentation of MINES Sector Delay in Months
Page  72 | text_chars=  138 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 68 MoSPI OCMS Graphical Presentation of STEEL Sector Delay in Months
Page  73 | text_chars=  142 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 69 MoSPI OCMS Graphical Presentation of PETROLEUM Sector Delay in Months
Page  74 | text_chars=  138 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 70 MoSPI OCMS Graphical Presentation of POWER Sector Delay in Months
Page  75 | text_chars=  141 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 71 MoSPI OCMS Graphical Presentation of RAILWAYS Sector Delay in Months
Page  76 | text_chars=  160 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 72 MoSPI OCMS Graphical Presentation of ROAD TRANSPORT AND HIGHWAYS Sector Delay in Months
Page  77 | text_chars=  151 | images= 2 | vkbZ- ih- ,e- Mh- Hkkjr ljdkj] lkaf[;dh ,oa dk;ZØe dk;kZUo;u ea=ky; 73 MoSPI OCMS Graphical Presentation of SHIPPING AND PORTS Sector Delay in Months
