====================================================================================================
FILE: raw/2024-25/monthly/April_Part-II_List_of_tables.pdf
PAGES: 572
====================================================================================================
Page   1 | text_chars=    0 | images= 1 | 
Page  33 | text_chars= 2673 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  34 | text_chars= 2674 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  35 | text_chars= 2721 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  36 | text_chars= 2709 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  37 | text_chars= 2613 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  38 | text_chars= 2728 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  39 | text_chars= 2640 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  40 | text_chars= 2674 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  41 | text_chars= 2751 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  42 | text_chars= 2638 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  43 | text_chars= 2650 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
Page  44 | text_chars= 1118 | images= 1 | List of projects reporting additional delayed Rs. 150 Crore and above (April 2024) Cost ( Rs.crore) DOC reported SI. No Project name Original Antici pated Original Last month This 
